Artist,Title,Year,URL,backcol
Attack on Titan,Guren no Yumiya,2013,https://www.youtube.com/watch?v=bHUcvHx9zlA
Steins;Gate,Hacking to the Gate,2011,https://www.youtube.com/watch?v=dy7gr0vaNho
Hunter x Hunter,departure!,2011,https://www.youtube.com/watch?v=PxYnfesUCs0
Demon Slayer: Kimetsu no Yaiba,Gurenge,2019,https://www.youtube.com/watch?v=YkJvHe3KK2c
My Hero Academia,THE DAY,2016,https://www.youtube.com/watch?v=-77UEct0cZM
Mob Psycho 100,99,2016,https://www.youtube.com/watch?v=Jn4ABiAF6Ts
JoJo's Bizarre Adventure,Sono Chi no Sadame,2012,https://www.youtube.com/watch?v=jXYN_M2RDLQ
Puella Magi Madoka Magica,Connect,2011,https://www.youtube.com/watch?v=isrzTAs_-Yw
Fate/Zero,oath sign,2011,https://www.youtube.com/watch?v=t1Wkgj7mntM
Made in Abyss,Deep in Abyss,2017,https://www.youtube.com/watch?v=EJYKsY0Vcts
Re:ZERO -Starting Life in Another World-,Redo,2016,https://www.youtube.com/watch?v=0Vwwr3VGsYg
A Silent Voice,My Generation,2016,https://www.youtube.com/watch?v=_9oYyyH4N8o
your name.,Yume Tourou,2016,https://www.youtube.com/watch?v=p9VMkwP04nM
KILL la KILL,Sirius,2013,https://www.youtube.com/watch?v=H8t9ApR0WZs
DEVILMAN Crybaby,MAN HUMAN,2018,https://www.youtube.com/watch?v=BLXq9D0RuGw
Dr. STONE,Good Morning World!,2019,https://www.youtube.com/watch?v=ot8QwURRCDs
PING PONG THE ANIMATION,Tada Hitori,2014,https://www.youtube.com/watch?v=Px9FvddtgpM
Yuri!!! on ICE,History Maker,2016,https://www.youtube.com/watch?v=ORDXWrL5EuQ
A Place Further Than The Universe,The Girls Are Alright!,2018,https://www.youtube.com/watch?v=DaTzRcSyEWc
SHIROBAKO,COLORFUL BOX,2014,https://www.youtube.com/watch?v=xnSpVz1Oa8E
